date,artist,total_streams
2017-05-16,Post Malone,1598722
2017-05-16,Drake,4499276
2017-05-16,Ed Sheeran,1535057
2017-05-16,The Chainsmokers,2175921
2017-05-17,Post Malone,1592187
2017-05-17,Drake,4455977
2017-05-17,Ed Sheeran,1513778
2017-05-17,The Chainsmokers,2071045
2017-05-18,Post Malone,1559664
2017-05-18,Drake,4212105
2017-05-18,Ed Sheeran,1489084
2017-05-18,The Chainsmokers,2097989
2017-05-19,Post Malone,1584340
2017-05-19,Drake,4121888
2017-05-19,Ed Sheeran,1321850
2017-05-19,The Chainsmokers,2101151
2017-05-20,Post Malone,1510824
2017-05-20,Drake,4052332
2017-05-20,Ed Sheeran,1240514
2017-05-20,The Chainsmokers,1955842
2017-05-21,Post Malone,1406139
2017-05-21,Drake,3991079
2017-05-21,Ed Sheeran,1246763
2017-05-21,The Chainsmokers,1776733
2017-05-22,Post Malone,1481265
2017-05-22,Drake,4165809
2017-05-22,Ed Sheeran,1342378
2017-05-22,The Chainsmokers,1951884
2017-05-23,Post Malone,1523743
2017-05-23,Drake,4449182
2017-05-23,Ed Sheeran,1351377
2017-05-23,The Chainsmokers,1953240
2017-05-24,Post Malone,1715183
2017-05-24,Drake,4106156
2017-05-24,Ed Sheeran,1346856
2017-05-24,The Chainsmokers,1946408
2017-05-25,Post Malone,1751726
2017-05-25,Drake,4286788
2017-05-25,Ed Sheeran,1357022
2017-05-25,The Chainsmokers,1986867
2017-05-26,Post Malone,1667370
2017-05-26,Drake,4044445
2017-05-26,Ed Sheeran,1236268
2017-05-26,The Chainsmokers,2109372
2017-05-27,Post Malone,1571095
2017-05-27,Drake,3782459
2017-05-27,Ed Sheeran,1152870
2017-05-27,The Chainsmokers,1927928
2017-05-28,Post Malone,1425059
2017-05-28,Drake,3432192
2017-05-28,Ed Sheeran,1030658
2017-05-28,The Chainsmokers,1693566
2017-05-29,Post Malone,1582200
2017-05-29,Drake,3407916
2017-05-29,Ed Sheeran,1053064
2017-05-29,The Chainsmokers,1728737
2017-06-01,Post Malone,1860193
2017-06-01,Drake,3607706
2017-06-01,Ed Sheeran,1120015
2017-06-01,The Chainsmokers,1670578
2017-06-03,Post Malone,1773279
2017-06-03,Drake,3468915
2017-06-03,Ed Sheeran,1055243
2017-06-03,The Chainsmokers,1581298
2017-06-04,Post Malone,1649289
2017-06-04,Drake,3175524
2017-06-04,Ed Sheeran,965737
2017-06-04,The Chainsmokers,1414612
2017-06-05,Post Malone,1716678
2017-06-05,Drake,3063116
2017-06-05,Ed Sheeran,1026058
2017-06-05,The Chainsmokers,1486286
2017-06-06,Post Malone,1809822
2017-06-06,Drake,3249061
2017-06-06,Ed Sheeran,1078742
2017-06-06,The Chainsmokers,1398385
2017-06-07,Post Malone,1919049
2017-06-07,Ed Sheeran,1388916
2017-06-07,Drake,3424528
2017-06-07,The Chainsmokers,1378052
2017-06-08,Post Malone,1964640
2017-06-08,Ed Sheeran,1356815
2017-06-08,Drake,3174674
2017-06-08,The Chainsmokers,1368123
2017-06-09,Post Malone,2012785
2017-06-09,Ed Sheeran,1418574
2017-06-09,Drake,3127424
2017-06-09,The Chainsmokers,1433181
2017-06-10,Post Malone,1882584
2017-06-10,Ed Sheeran,1071319
2017-06-10,Drake,3115883
2017-06-10,The Chainsmokers,1327628
2017-06-11,Post Malone,1787430
2017-06-11,Drake,2932121
2017-06-11,Ed Sheeran,992217
2017-06-11,The Chainsmokers,1214393
2017-06-12,Post Malone,1889863
2017-06-12,Ed Sheeran,1067253
2017-06-12,Drake,2827475
2017-06-12,The Chainsmokers,1301521
2017-06-13,Post Malone,1883469
2017-06-13,Ed Sheeran,1074139
2017-06-13,Drake,2817943
2017-06-13,The Chainsmokers,1315390
2017-06-14,Post Malone,1908385
2017-06-14,Ed Sheeran,1066913
2017-06-14,Drake,3039483
2017-06-14,The Chainsmokers,1300528
2017-06-15,Post Malone,1923745
2017-06-15,Ed Sheeran,1084131
2017-06-15,Drake,3055046
2017-06-15,The Chainsmokers,1326050
2017-06-16,Post Malone,2145969
2017-06-16,Ed Sheeran,1100310
2017-06-16,Drake,2721290
2017-06-16,The Chainsmokers,1356809
2017-06-17,Post Malone,2083385
2017-06-17,Ed Sheeran,1020180
2017-06-17,Drake,2761272
2017-06-17,The Chainsmokers,1244846
2017-06-18,Post Malone,1884255
2017-06-18,Ed Sheeran,925755
2017-06-18,Drake,2827114
2017-06-18,The Chainsmokers,1106237
2017-06-19,Post Malone,2037265
2017-06-19,Ed Sheeran,1030983
2017-06-19,Drake,2527307
2017-06-19,The Chainsmokers,1239814
2017-06-20,Post Malone,2062361
2017-06-20,Ed Sheeran,1045676
2017-06-20,Drake,2615804
2017-06-20,The Chainsmokers,1271784
2017-06-21,Post Malone,2019487
2017-06-21,Ed Sheeran,1035093
2017-06-21,Drake,2570626
2017-06-21,The Chainsmokers,1297098
2017-06-22,Post Malone,2018232
2017-06-22,Ed Sheeran,1030035
2017-06-22,Drake,2557516
2017-06-22,The Chainsmokers,1264056
2017-06-23,Post Malone,2041142
2017-06-23,Ed Sheeran,1036026
2017-06-23,Drake,2163366
2017-06-23,The Chainsmokers,1284059
2017-06-24,Post Malone,1945099
2017-06-24,Drake,3553496
2017-06-24,Ed Sheeran,974845
2017-06-24,The Chainsmokers,1211176
2017-06-25,Post Malone,1810669
2017-06-25,Drake,3289908
2017-06-25,Ed Sheeran,897659
2017-06-25,The Chainsmokers,1107907
2017-06-26,Drake,3234404
2017-06-26,Post Malone,1956267
2017-06-26,Ed Sheeran,993104
2017-06-26,The Chainsmokers,1216530
2017-06-27,Drake,3220591
2017-06-27,Post Malone,1975898
2017-06-27,Ed Sheeran,997887
2017-06-27,The Chainsmokers,1239486
2017-06-28,Post Malone,1949389
2017-06-28,Drake,3156190
2017-06-28,Ed Sheeran,989455
2017-06-28,The Chainsmokers,1254987
2017-06-29,Post Malone,1973890
2017-06-29,Drake,3150385
2017-06-29,Ed Sheeran,1001793
2017-06-29,The Chainsmokers,1225514
2017-06-30,Post Malone,2031391
2017-06-30,Drake,3175606
2017-06-30,Ed Sheeran,1044568
2017-06-30,The Chainsmokers,1287297
2017-07-01,Post Malone,1940006
2017-07-01,Drake,2768466
2017-07-01,Ed Sheeran,982400
2017-07-01,The Chainsmokers,1210802
2017-07-02,Post Malone,1756734
2017-07-02,Drake,2782125
2017-07-02,Ed Sheeran,885973
2017-07-02,The Chainsmokers,1088379
2017-07-03,Post Malone,1832263
2017-07-03,Drake,2742727
2017-07-03,Ed Sheeran,946084
2017-07-03,The Chainsmokers,1158809
2017-07-04,Post Malone,1750367
2017-07-04,Drake,2589425
2017-07-04,Ed Sheeran,845552
2017-07-04,The Chainsmokers,1389149
2017-07-05,Post Malone,1756111
2017-07-05,Drake,2482702
2017-07-05,Ed Sheeran,982060
2017-07-05,The Chainsmokers,1318742
2017-07-06,Post Malone,1856575
2017-07-06,Drake,2698752
2017-07-06,Ed Sheeran,987621
2017-07-06,The Chainsmokers,1217221
2017-07-07,Post Malone,1888461
2017-07-07,Drake,2584233
2017-07-07,Ed Sheeran,987246
2017-07-07,The Chainsmokers,1233444
2017-07-08,Post Malone,1810108
2017-07-08,Drake,2448722
2017-07-08,Ed Sheeran,921541
2017-07-08,The Chainsmokers,1142878
2017-07-09,Post Malone,1692194
2017-07-09,Drake,2252028
2017-07-09,Ed Sheeran,864100
2017-07-09,The Chainsmokers,1050653
2017-07-10,Post Malone,1774858
2017-07-10,Drake,2325383
2017-07-10,Ed Sheeran,954697
2017-07-10,The Chainsmokers,1139449
2017-07-11,Post Malone,1786566
2017-07-11,Drake,2352144
2017-07-11,Ed Sheeran,943406
2017-07-11,The Chainsmokers,1172113
2017-07-12,Post Malone,1780729
2017-07-12,Drake,2325693
2017-07-12,Ed Sheeran,950315
2017-07-12,The Chainsmokers,1183765
2017-07-13,Post Malone,1797890
2017-07-13,Drake,2311922
2017-07-13,Ed Sheeran,945464
2017-07-13,The Chainsmokers,1149980
2017-07-14,Post Malone,1681580
2017-07-14,Drake,2351919
2017-07-14,Ed Sheeran,959632
2017-07-14,The Chainsmokers,1169172
2017-07-15,Post Malone,1774730
2017-07-15,Drake,2268964
2017-07-15,Ed Sheeran,894102
2017-07-15,The Chainsmokers,1094671
2017-07-16,Post Malone,1634915
2017-07-16,Drake,2095372
2017-07-16,Ed Sheeran,812211
2017-07-16,The Chainsmokers,988496
2017-07-17,Post Malone,1577808
2017-07-17,Drake,2160347
2017-07-17,Ed Sheeran,1081123
2017-07-17,The Chainsmokers,1069564
2017-07-18,Post Malone,1600507
2017-07-18,Drake,2212411
2017-07-18,Ed Sheeran,1085313
