"","Artist","not","Fri_Sat","ratio"
"626","RL Grime",NA,337457,NA
"627","Robyn",NA,261903,NA
"628","Rockwell",365797.5,NA,NA
"629","Ronny J",242032,NA,NA
"630","Rusted Root",275917,NA,NA
"631","Ryan Gosling",162191,NA,NA
"632","Sam Cooke",145484,NA,NA
"633","Seeb",223800,NA,NA
"634","Shaggy",241087,NA,NA
"635","Shakin' Stevens",409189.5,NA,NA
"636","Shallou",162310,NA,NA
"637","Sigrid",NA,168085,NA
"638","Snoop Dogg",203432.5,NA,NA
"639","Sofi Tukker",194761,NA,NA
"640","Soleima",NA,186533,NA
"641","Stargate",NA,178057,NA
"642","Stevie Nicks",192684,NA,NA
"643","Sublime",249323.5,NA,NA
"644","Tankhead",228748,NA,NA
"645","Temple Of The Dog",207132,NA,NA
"646","The All-American Rejects",NA,198402,NA
"647","The Beatles",182146,NA,NA
"648","The Citizens of Halloween",362314.5,NA,NA
"649","The Clash",171175.5,NA,NA
"650","The Cranberries",283522,NA,NA
"651","The Goo Goo Dolls",188495,NA,NA
"652","The Platters",403679,NA,NA
"653","The Rolling Stones",184311,NA,NA
"654","The Temptations",249539,NA,NA
"655","Tim Berg",NA,252408,NA
"656","Timeflies",NA,185336,NA
"657","TLC",201499,NA,NA
"658","Toby Keith",245177.5,NA,NA
"659","Tom Petty and the Heartbreakers",260643,NA,NA
"660","Tove Lo",NA,308874,NA
"661","Tove Styrke",NA,185163,NA
"662","Train",350455,NA,NA
"663","Van Morrison",214719,NA,NA
"664","Vic Mensa",NA,215385,NA
"665","WALK THE MOON",NA,217921,NA
"666","Warren Zevon",243677.5,NA,NA
"667","Weezer",NA,316910,NA
"668","Whethan",NA,208875,NA
"669","Yellow Claw",NA,186417,NA
"670","Young Dolph",NA,210334,NA
"671","Zac Brown Band",238062.5,NA,NA
"672","ZHU",NA,170557,NA
